ds,region,skill_category,y
2025-10-15,Kolkata,electrician,25
2025-10-16,Kolkata,electrician,22
2025-10-17,Kolkata,electrician,20
2025-10-18,Kolkata,electrician,15
2025-10-19,Kolkata,electrician,9
2025-10-20,Kolkata,electrician,20
2025-10-21,Kolkata,electrician,23
2025-10-22,Kolkata,electrician,27
2025-10-23,Kolkata,electrician,21
2025-10-24,Kolkata,electrician,19
2025-10-25,Kolkata,electrician,14
2025-10-26,Kolkata,electrician,13
2025-10-27,Kolkata,electrician,22
2025-10-28,Kolkata,electrician,21
2025-10-29,Kolkata,electrician,24
2025-10-30,Kolkata,electrician,22
2025-10-31,Kolkata,electrician,23
2025-11-01,Kolkata,electrician,13
2025-11-02,Kolkata,electrician,11
2025-11-03,Kolkata,electrician,20
2025-11-04,Kolkata,electrician,18
2025-11-05,Kolkata,electrician,24
2025-11-06,Kolkata,electrician,23
2025-11-07,Kolkata,electrician,21
2025-11-08,Kolkata,electrician,14
2025-11-09,Kolkata,electrician,10
2025-11-10,Kolkata,electrician,20
2025-11-11,Kolkata,electrician,21
2025-11-12,Kolkata,electrician,21
2025-11-13,Kolkata,electrician,22
2025-11-14,Kolkata,electrician,22
2025-11-15,Kolkata,electrician,18
2025-11-16,Kolkata,electrician,12
2025-11-17,Kolkata,electrician,22
2025-11-18,Kolkata,electrician,22
2025-11-19,Kolkata,electrician,18
2025-11-20,Kolkata,electrician,22
2025-11-21,Kolkata,electrician,21
2025-11-22,Kolkata,electrician,19
2025-11-23,Kolkata,electrician,11
2025-11-24,Kolkata,electrician,22
2025-11-25,Kolkata,electrician,22
2025-11-26,Kolkata,electrician,20
2025-11-27,Kolkata,electrician,25
2025-11-28,Kolkata,electrician,23
2025-11-29,Kolkata,electrician,16
2025-11-30,Kolkata,electrician,10
2025-12-01,Kolkata,electrician,17
2025-12-02,Kolkata,electrician,12
2025-12-03,Kolkata,electrician,17
2025-12-04,Kolkata,electrician,19
2025-12-05,Kolkata,electrician,12
2025-12-06,Kolkata,electrician,9
2025-12-07,Kolkata,electrician,8
2025-12-08,Kolkata,electrician,13
2025-12-09,Kolkata,electrician,12
2025-12-10,Kolkata,electrician,16
2025-12-11,Kolkata,electrician,13
2025-12-12,Kolkata,electrician,15
2025-12-13,Kolkata,electrician,9
2025-12-14,Kolkata,electrician,9
2025-12-15,Kolkata,electrician,13
2025-12-16,Kolkata,electrician,14
2025-12-17,Kolkata,electrician,17
2025-12-18,Kolkata,electrician,13
2025-12-19,Kolkata,electrician,15
2025-12-20,Kolkata,electrician,12
2025-12-21,Kolkata,electrician,6
2025-12-22,Kolkata,electrician,15
2025-12-23,Kolkata,electrician,15
2025-12-24,Kolkata,electrician,17
2025-12-25,Kolkata,electrician,13
2025-12-26,Kolkata,electrician,12
2025-12-27,Kolkata,electrician,11
2025-12-28,Kolkata,electrician,8
2025-12-29,Kolkata,electrician,15
2025-12-30,Kolkata,electrician,16
2025-12-31,Kolkata,electrician,14
2026-01-01,Kolkata,electrician,15
2026-01-02,Kolkata,electrician,15
2026-01-03,Kolkata,electrician,9
2026-01-04,Kolkata,electrician,10
2026-01-05,Kolkata,electrician,15
2026-01-06,Kolkata,electrician,13
2026-01-07,Kolkata,electrician,17
2026-01-08,Kolkata,electrician,13
2026-01-09,Kolkata,electrician,16
2026-01-10,Kolkata,electrician,11
2026-01-11,Kolkata,electrician,7
2026-01-12,Kolkata,electrician,16
2026-01-13,Kolkata,electrician,16
2026-01-14,Kolkata,electrician,17
2026-01-15,Kolkata,electrician,19
2026-01-16,Kolkata,electrician,14
2026-01-17,Kolkata,electrician,9
2026-01-18,Kolkata,electrician,7
2026-01-19,Kolkata,electrician,13
2026-01-20,Kolkata,electrician,15
2026-01-21,Kolkata,electrician,17
2026-01-22,Kolkata,electrician,16
2026-01-23,Kolkata,electrician,16
2026-01-24,Kolkata,electrician,10
2026-01-25,Kolkata,electrician,9
2026-01-26,Kolkata,electrician,14
2026-01-27,Kolkata,electrician,20
2026-01-28,Kolkata,electrician,17
2026-01-29,Kolkata,electrician,14
2026-01-30,Kolkata,electrician,13
2026-01-31,Kolkata,electrician,11
2026-02-01,Kolkata,electrician,8
2026-02-02,Kolkata,electrician,16
2026-02-03,Kolkata,electrician,16
2026-02-04,Kolkata,electrician,16
2026-02-05,Kolkata,electrician,14
2026-02-06,Kolkata,electrician,12
2026-02-07,Kolkata,electrician,10
2026-02-08,Kolkata,electrician,9
2026-02-09,Kolkata,electrician,15
2026-02-10,Kolkata,electrician,13
2026-02-11,Kolkata,electrician,16
2026-02-12,Kolkata,electrician,16
2026-02-13,Kolkata,electrician,13
2026-02-14,Kolkata,electrician,10
2026-02-15,Kolkata,electrician,8
2026-02-16,Kolkata,electrician,13
2026-02-17,Kolkata,electrician,16
2026-02-18,Kolkata,electrician,17
2026-02-19,Kolkata,electrician,17
2026-02-20,Kolkata,electrician,16
2026-02-21,Kolkata,electrician,9
2026-02-22,Kolkata,electrician,7
2026-02-23,Kolkata,electrician,16
2026-02-24,Kolkata,electrician,16
2026-02-25,Kolkata,electrician,17
2026-02-26,Kolkata,electrician,22
2026-02-27,Kolkata,electrician,16
2026-02-28,Kolkata,electrician,12
2026-03-01,Kolkata,electrician,10
2026-03-02,Kolkata,electrician,18
2026-03-03,Kolkata,electrician,16
2026-03-04,Kolkata,electrician,20
2026-03-05,Kolkata,electrician,16
2026-03-06,Kolkata,electrician,16
2026-03-07,Kolkata,electrician,11
2026-03-08,Kolkata,electrician,9
2026-03-09,Kolkata,electrician,21
2026-03-10,Kolkata,electrician,13
2026-03-11,Kolkata,electrician,19
2026-03-12,Kolkata,electrician,14
2026-03-13,Kolkata,electrician,15
2026-03-14,Kolkata,electrician,13
2026-03-15,Kolkata,electrician,9
2026-03-16,Kolkata,electrician,14
2026-03-17,Kolkata,electrician,16
2026-03-18,Kolkata,electrician,19
2026-03-19,Kolkata,electrician,16
2026-03-20,Kolkata,electrician,17
2026-03-21,Kolkata,electrician,12
2026-03-22,Kolkata,electrician,8
2026-03-23,Kolkata,electrician,21
2026-03-24,Kolkata,electrician,19
2026-03-25,Kolkata,electrician,14
2026-03-26,Kolkata,electrician,18
2026-03-27,Kolkata,electrician,15
2026-03-28,Kolkata,electrician,13
2026-03-29,Kolkata,electrician,8
2026-03-30,Kolkata,electrician,16
2026-03-31,Kolkata,electrician,18
2026-04-01,Kolkata,electrician,25
2026-04-02,Kolkata,electrician,18
2026-04-03,Kolkata,electrician,20
2026-04-04,Kolkata,electrician,14
2026-04-05,Kolkata,electrician,10
2026-04-06,Kolkata,electrician,25
2026-04-07,Kolkata,electrician,23
2026-04-08,Kolkata,electrician,19
2026-04-09,Kolkata,electrician,24
2026-04-10,Kolkata,electrician,26
2026-04-11,Kolkata,electrician,16
2026-04-12,Kolkata,electrician,9
2026-04-13,Kolkata,electrician,19
2026-04-14,Kolkata,electrician,25
2026-04-15,Kolkata,electrician,21
2026-04-16,Kolkata,electrician,23
2026-04-17,Kolkata,electrician,23
2026-04-18,Kolkata,electrician,13
2026-04-19,Kolkata,electrician,11
2026-04-20,Kolkata,electrician,13
2026-04-21,Kolkata,electrician,19
2026-04-22,Kolkata,electrician,22
2026-04-23,Kolkata,electrician,19
2026-04-24,Kolkata,electrician,25
2026-04-25,Kolkata,electrician,12
2026-04-26,Kolkata,electrician,11
2026-04-27,Kolkata,electrician,21
2026-04-28,Kolkata,electrician,26
2026-04-29,Kolkata,electrician,19
2026-04-30,Kolkata,electrician,25
2026-05-01,Kolkata,electrician,21
2026-05-02,Kolkata,electrician,13
2026-05-03,Kolkata,electrician,12
2026-05-04,Kolkata,electrician,21
2026-05-05,Kolkata,electrician,20
2026-05-06,Kolkata,electrician,23
2026-05-07,Kolkata,electrician,21
2026-05-08,Kolkata,electrician,21
2026-05-09,Kolkata,electrician,16
2026-05-10,Kolkata,electrician,14
2026-05-11,Kolkata,electrician,18
2026-05-12,Kolkata,electrician,28
2026-05-13,Kolkata,electrician,18
2026-05-14,Kolkata,electrician,22
2026-05-15,Kolkata,electrician,22
2026-05-16,Kolkata,electrician,15
2026-05-17,Kolkata,electrician,11
2026-05-18,Kolkata,electrician,20
2026-05-19,Kolkata,electrician,21
2026-05-20,Kolkata,electrician,21
2026-05-21,Kolkata,electrician,24
2026-05-22,Kolkata,electrician,22
2026-05-23,Kolkata,electrician,13
2026-05-24,Kolkata,electrician,13
2026-05-25,Kolkata,electrician,22
2026-05-26,Kolkata,electrician,24
2026-05-27,Kolkata,electrician,25
2026-05-28,Kolkata,electrician,20
2026-05-29,Kolkata,electrician,20
2026-05-30,Kolkata,electrician,16
2026-05-31,Kolkata,electrician,12
2026-06-01,Kolkata,electrician,20
2026-06-02,Kolkata,electrician,22
2026-06-03,Kolkata,electrician,26
2026-06-04,Kolkata,electrician,20
2026-06-05,Kolkata,electrician,22
2026-06-06,Kolkata,electrician,14
2026-06-07,Kolkata,electrician,11
2026-06-08,Kolkata,electrician,23
2026-06-09,Kolkata,electrician,23
2026-06-10,Kolkata,electrician,24
2026-06-11,Kolkata,electrician,25
2026-06-12,Kolkata,electrician,20
2026-06-13,Kolkata,electrician,15
2026-06-14,Kolkata,electrician,11
2026-06-15,Kolkata,electrician,21
2026-06-16,Kolkata,electrician,21
2026-06-17,Kolkata,electrician,23
2026-06-18,Kolkata,electrician,23
2026-06-19,Kolkata,electrician,18
2026-06-20,Kolkata,electrician,18
2026-06-21,Kolkata,electrician,10
2026-06-22,Kolkata,electrician,17
2026-06-23,Kolkata,electrician,24
2026-06-24,Kolkata,electrician,25
2026-06-25,Kolkata,electrician,23
2026-06-26,Kolkata,electrician,22
2026-06-27,Kolkata,electrician,14
2026-06-28,Kolkata,electrician,10
2026-06-29,Kolkata,electrician,21
2026-06-30,Kolkata,electrician,20
2026-07-01,Kolkata,electrician,25
2026-07-02,Kolkata,electrician,21
2026-07-03,Kolkata,electrician,18
2026-07-04,Kolkata,electrician,14
2026-07-05,Kolkata,electrician,12
2026-07-06,Kolkata,electrician,19
2026-07-07,Kolkata,electrician,19
2026-07-08,Kolkata,electrician,23
2026-07-09,Kolkata,electrician,22
2026-07-10,Kolkata,electrician,19
2026-07-11,Kolkata,electrician,14
2026-07-12,Kolkata,electrician,12
2026-07-13,Kolkata,electrician,17
2026-07-14,Kolkata,electrician,18
2026-07-15,Kolkata,electrician,21
2026-07-16,Kolkata,electrician,21
2026-07-17,Kolkata,electrician,21
2026-07-18,Kolkata,electrician,17
2026-07-19,Kolkata,electrician,12
2026-07-20,Kolkata,electrician,20
2026-07-21,Kolkata,electrician,22
2026-07-22,Kolkata,electrician,20
2026-07-23,Kolkata,electrician,22
2026-07-24,Kolkata,electrician,20
2026-07-25,Kolkata,electrician,15
2026-07-26,Kolkata,electrician,10
2026-07-27,Kolkata,electrician,22
2026-07-28,Kolkata,electrician,26
2026-07-29,Kolkata,electrician,22
2026-07-30,Kolkata,electrician,23
2026-07-31,Kolkata,electrician,22
2026-08-01,Kolkata,electrician,14
2026-08-02,Kolkata,electrician,12
2026-08-03,Kolkata,electrician,21
2026-08-04,Kolkata,electrician,22
2026-08-05,Kolkata,electrician,21
2026-08-06,Kolkata,electrician,22
2026-08-07,Kolkata,electrician,22
2026-08-08,Kolkata,electrician,17
2026-08-09,Kolkata,electrician,13
2026-08-10,Kolkata,electrician,26
2026-08-11,Kolkata,electrician,20
2026-08-12,Kolkata,electrician,25
2026-08-13,Kolkata,electrician,22
2026-08-14,Kolkata,electrician,26
2026-08-15,Kolkata,electrician,13
2026-08-16,Kolkata,electrician,10
2026-08-17,Kolkata,electrician,19
2026-08-18,Kolkata,electrician,16
2026-08-19,Kolkata,electrician,21
2026-08-20,Kolkata,electrician,20
2026-08-21,Kolkata,electrician,21
2026-08-22,Kolkata,electrician,15
2026-08-23,Kolkata,electrician,14
2026-08-24,Kolkata,electrician,23
2026-08-25,Kolkata,electrician,20
2026-08-26,Kolkata,electrician,20
2026-08-27,Kolkata,electrician,23
2026-08-28,Kolkata,electrician,18
2025-08-01,Kolkata,plumber,22
2025-08-02,Kolkata,plumber,14
2025-08-03,Kolkata,plumber,9
2025-08-04,Kolkata,plumber,14
2025-08-05,Kolkata,plumber,22
2025-08-06,Kolkata,plumber,20
2025-08-07,Kolkata,plumber,22
2025-08-08,Kolkata,plumber,15
2025-08-09,Kolkata,plumber,12
2025-08-10,Kolkata,plumber,10
2025-08-11,Kolkata,plumber,18
2025-08-12,Kolkata,plumber,18
2025-08-13,Kolkata,plumber,21
2025-08-14,Kolkata,plumber,17
2025-08-15,Kolkata,plumber,18
2025-08-16,Kolkata,plumber,13
2025-08-17,Kolkata,plumber,11
2025-08-18,Kolkata,plumber,20
2025-08-19,Kolkata,plumber,16
2025-08-20,Kolkata,plumber,16
2025-08-21,Kolkata,plumber,22
2025-08-22,Kolkata,plumber,19
2025-08-23,Kolkata,plumber,12
2025-08-24,Kolkata,plumber,12
2025-08-25,Kolkata,plumber,18
2025-08-26,Kolkata,plumber,22
2025-08-27,Kolkata,plumber,20
2025-08-28,Kolkata,plumber,24
2025-08-29,Kolkata,plumber,22
2025-08-30,Kolkata,plumber,12
2025-08-31,Kolkata,plumber,11
2025-09-01,Kolkata,plumber,13
2025-09-02,Kolkata,plumber,15
2025-09-03,Kolkata,plumber,12
2025-09-04,Kolkata,plumber,14
2025-09-05,Kolkata,plumber,14
2025-09-06,Kolkata,plumber,7
2025-09-07,Kolkata,plumber,6
2025-09-08,Kolkata,plumber,9
2025-09-09,Kolkata,plumber,12
2025-09-10,Kolkata,plumber,15
2025-09-11,Kolkata,plumber,15
2025-09-12,Kolkata,plumber,12
2025-09-13,Kolkata,plumber,10
2025-09-14,Kolkata,plumber,5
2025-09-15,Kolkata,plumber,10
2025-09-16,Kolkata,plumber,13
2025-09-17,Kolkata,plumber,14
2025-09-18,Kolkata,plumber,13
2025-09-19,Kolkata,plumber,9
2025-09-20,Kolkata,plumber,8
2025-09-21,Kolkata,plumber,5
2025-09-22,Kolkata,plumber,13
2025-09-23,Kolkata,plumber,13
2025-09-24,Kolkata,plumber,12
2025-09-25,Kolkata,plumber,12
2025-09-26,Kolkata,plumber,11
2025-09-27,Kolkata,plumber,9
2025-09-28,Kolkata,plumber,8
2025-09-29,Kolkata,plumber,11
2025-09-30,Kolkata,plumber,14
2025-10-01,Kolkata,plumber,17
2025-10-02,Kolkata,plumber,16
2025-10-03,Kolkata,plumber,16
2025-10-04,Kolkata,plumber,10
2025-10-05,Kolkata,plumber,9
2025-10-06,Kolkata,plumber,14
2025-10-07,Kolkata,plumber,22
2025-10-08,Kolkata,plumber,18
2025-10-09,Kolkata,plumber,16
2025-10-10,Kolkata,plumber,17
2025-10-11,Kolkata,plumber,12
2025-10-12,Kolkata,plumber,9
2025-10-13,Kolkata,plumber,18
2025-10-14,Kolkata,plumber,19
2025-10-15,Kolkata,plumber,17
2025-10-16,Kolkata,plumber,16
2025-10-17,Kolkata,plumber,16
2025-10-18,Kolkata,plumber,8
2025-10-19,Kolkata,plumber,8
2025-10-20,Kolkata,plumber,19
2025-10-21,Kolkata,plumber,21
2025-10-22,Kolkata,plumber,18
2025-10-23,Kolkata,plumber,19
2025-10-24,Kolkata,plumber,17
2025-10-25,Kolkata,plumber,16
2025-10-26,Kolkata,plumber,10
2025-10-27,Kolkata,plumber,17
2025-10-28,Kolkata,plumber,16
2025-10-29,Kolkata,plumber,15
2025-10-30,Kolkata,plumber,18
2025-10-31,Kolkata,plumber,15
2025-11-01,Kolkata,plumber,10
2025-11-02,Kolkata,plumber,9
2025-11-03,Kolkata,plumber,15
2025-11-04,Kolkata,plumber,21
2025-11-05,Kolkata,plumber,20
2025-11-06,Kolkata,plumber,18
2025-11-07,Kolkata,plumber,20
2025-11-08,Kolkata,plumber,12
2025-11-09,Kolkata,plumber,8
2025-11-10,Kolkata,plumber,20
2025-11-11,Kolkata,plumber,19
2025-11-12,Kolkata,plumber,16
2025-11-13,Kolkata,plumber,17
2025-11-14,Kolkata,plumber,15
2025-11-15,Kolkata,plumber,10
2025-11-16,Kolkata,plumber,10
2025-11-17,Kolkata,plumber,21
2025-11-18,Kolkata,plumber,15
2025-11-19,Kolkata,plumber,20
2025-11-20,Kolkata,plumber,16
2025-11-21,Kolkata,plumber,16
2025-11-22,Kolkata,plumber,11
2025-11-23,Kolkata,plumber,8
2025-11-24,Kolkata,plumber,17
2025-11-25,Kolkata,plumber,16
2025-11-26,Kolkata,plumber,19
2025-11-27,Kolkata,plumber,18
2025-11-28,Kolkata,plumber,16
2025-11-29,Kolkata,plumber,11
2025-11-30,Kolkata,plumber,9
2025-12-01,Kolkata,plumber,12
2025-12-02,Kolkata,plumber,13
2025-12-03,Kolkata,plumber,11
2025-12-04,Kolkata,plumber,12
2025-12-05,Kolkata,plumber,12
2025-12-06,Kolkata,plumber,6
2025-12-07,Kolkata,plumber,7
2025-12-08,Kolkata,plumber,10
2025-12-09,Kolkata,plumber,13
2025-12-10,Kolkata,plumber,11
2025-12-11,Kolkata,plumber,9
2025-12-12,Kolkata,plumber,9
2025-12-13,Kolkata,plumber,8
2025-12-14,Kolkata,plumber,7
2025-12-15,Kolkata,plumber,10
2025-12-16,Kolkata,plumber,13
2025-12-17,Kolkata,plumber,10
2025-12-18,Kolkata,plumber,12
2025-12-19,Kolkata,plumber,10
2025-12-20,Kolkata,plumber,7
2025-12-21,Kolkata,plumber,6
2025-12-22,Kolkata,plumber,10
2025-12-23,Kolkata,plumber,11
2025-12-24,Kolkata,plumber,14
2025-12-25,Kolkata,plumber,11
2025-12-26,Kolkata,plumber,13
2025-12-27,Kolkata,plumber,7
2025-12-28,Kolkata,plumber,7
2025-12-29,Kolkata,plumber,13
2025-12-30,Kolkata,plumber,8
2025-12-31,Kolkata,plumber,11
2026-01-01,Kolkata,plumber,13
2026-01-02,Kolkata,plumber,11
2026-01-03,Kolkata,plumber,8
2026-01-04,Kolkata,plumber,6
2026-01-05,Kolkata,plumber,12
2026-01-06,Kolkata,plumber,12
2026-01-07,Kolkata,plumber,14
2026-01-08,Kolkata,plumber,12
2026-01-09,Kolkata,plumber,12
2026-01-10,Kolkata,plumber,8
2026-01-11,Kolkata,plumber,6
2026-01-12,Kolkata,plumber,11
2026-01-13,Kolkata,plumber,13
2026-01-14,Kolkata,plumber,12
2026-01-15,Kolkata,plumber,13
2026-01-16,Kolkata,plumber,14
2026-01-17,Kolkata,plumber,9
2026-01-18,Kolkata,plumber,6
2026-01-19,Kolkata,plumber,13
2026-01-20,Kolkata,plumber,12
2026-01-21,Kolkata,plumber,10
2026-01-22,Kolkata,plumber,11
2026-01-23,Kolkata,plumber,9
2026-01-24,Kolkata,plumber,8
2026-01-25,Kolkata,plumber,6
2026-01-26,Kolkata,plumber,14
2026-01-27,Kolkata,plumber,13
2026-01-28,Kolkata,plumber,12
2026-01-29,Kolkata,plumber,13
2026-01-30,Kolkata,plumber,9
2026-01-31,Kolkata,plumber,8
2026-02-01,Kolkata,plumber,7
2026-02-02,Kolkata,plumber,10
2026-02-03,Kolkata,plumber,14
2026-02-04,Kolkata,plumber,13
2026-02-05,Kolkata,plumber,12
2026-02-06,Kolkata,plumber,12
2026-02-07,Kolkata,plumber,10
2026-02-08,Kolkata,plumber,7
2026-02-09,Kolkata,plumber,12
2026-02-10,Kolkata,plumber,12
2026-02-11,Kolkata,plumber,11
2026-02-12,Kolkata,plumber,13
2026-02-13,Kolkata,plumber,10
2026-02-14,Kolkata,plumber,8
2026-02-15,Kolkata,plumber,6
2026-02-16,Kolkata,plumber,12
2026-02-17,Kolkata,plumber,13
2026-02-18,Kolkata,plumber,14
2026-02-19,Kolkata,plumber,12
2026-02-20,Kolkata,plumber,11
2026-02-21,Kolkata,plumber,7
2026-02-22,Kolkata,plumber,6
2026-02-23,Kolkata,plumber,12
2026-02-24,Kolkata,plumber,13
2026-02-25,Kolkata,plumber,11
2026-02-26,Kolkata,plumber,14
2026-02-27,Kolkata,plumber,14
2026-02-28,Kolkata,plumber,9
2026-03-01,Kolkata,plumber,9
2026-03-02,Kolkata,plumber,12
2026-03-03,Kolkata,plumber,12
2026-03-04,Kolkata,plumber,11
2026-03-05,Kolkata,plumber,16
2026-03-06,Kolkata,plumber,14
2026-03-07,Kolkata,plumber,9
2026-03-08,Kolkata,plumber,7
2026-03-09,Kolkata,plumber,11
2026-03-10,Kolkata,plumber,18
2026-03-11,Kolkata,plumber,15
2026-03-12,Kolkata,plumber,14
2026-03-13,Kolkata,plumber,14
2026-03-14,Kolkata,plumber,10
2026-03-15,Kolkata,plumber,7
2026-03-16,Kolkata,plumber,12
2026-03-17,Kolkata,plumber,15
2026-03-18,Kolkata,plumber,18
2026-03-19,Kolkata,plumber,16
2026-03-20,Kolkata,plumber,16
2026-03-21,Kolkata,plumber,9
2026-03-22,Kolkata,plumber,6
2026-03-23,Kolkata,plumber,13
2026-03-24,Kolkata,plumber,14
2026-03-25,Kolkata,plumber,16
2026-03-26,Kolkata,plumber,11
2026-03-27,Kolkata,plumber,16
2026-03-28,Kolkata,plumber,9
2026-03-29,Kolkata,plumber,7
2026-03-30,Kolkata,plumber,12
2026-03-31,Kolkata,plumber,11
2026-04-01,Kolkata,plumber,18
2026-04-02,Kolkata,plumber,15
2026-04-03,Kolkata,plumber,12
2026-04-04,Kolkata,plumber,9
2026-04-05,Kolkata,plumber,8
2026-04-06,Kolkata,plumber,17
2026-04-07,Kolkata,plumber,15
2026-04-08,Kolkata,plumber,13
2026-04-09,Kolkata,plumber,15
2026-04-10,Kolkata,plumber,14
2026-04-11,Kolkata,plumber,7
2026-04-12,Kolkata,plumber,8
2026-04-13,Kolkata,plumber,14
2026-04-14,Kolkata,plumber,17
2026-04-15,Kolkata,plumber,20
2026-04-16,Kolkata,plumber,17
2026-04-17,Kolkata,plumber,14
2026-04-18,Kolkata,plumber,9
2026-04-19,Kolkata,plumber,11
2026-04-20,Kolkata,plumber,15
2026-04-21,Kolkata,plumber,15
2026-04-22,Kolkata,plumber,16
2026-04-23,Kolkata,plumber,16
2026-04-24,Kolkata,plumber,14
2026-04-25,Kolkata,plumber,10
2026-04-26,Kolkata,plumber,7
2026-04-27,Kolkata,plumber,15
2026-04-28,Kolkata,plumber,14
2026-04-29,Kolkata,plumber,15
2026-04-30,Kolkata,plumber,16
2026-05-01,Kolkata,plumber,14
2026-05-02,Kolkata,plumber,12
2026-05-03,Kolkata,plumber,5
2026-05-04,Kolkata,plumber,17
2026-05-05,Kolkata,plumber,18
2026-05-06,Kolkata,plumber,12
2026-05-07,Kolkata,plumber,15
2026-05-08,Kolkata,plumber,14
2026-05-09,Kolkata,plumber,9
2026-05-10,Kolkata,plumber,7
2026-05-11,Kolkata,plumber,13
2026-05-12,Kolkata,plumber,19
2026-05-13,Kolkata,plumber,18
2026-05-14,Kolkata,plumber,18
2026-05-15,Kolkata,plumber,16
2026-05-16,Kolkata,plumber,9
2026-05-17,Kolkata,plumber,8
2026-05-18,Kolkata,plumber,16
2026-05-19,Kolkata,plumber,13
2026-05-20,Kolkata,plumber,18
2026-05-21,Kolkata,plumber,15
2026-05-22,Kolkata,plumber,14
2026-05-23,Kolkata,plumber,11
2026-05-24,Kolkata,plumber,9
2026-05-25,Kolkata,plumber,14
2026-05-26,Kolkata,plumber,18
2026-05-27,Kolkata,plumber,14
2026-05-28,Kolkata,plumber,17
2026-05-29,Kolkata,plumber,16
2026-05-30,Kolkata,plumber,10
2026-05-31,Kolkata,plumber,8
2026-06-01,Kolkata,plumber,17
2026-06-02,Kolkata,plumber,24
2026-06-03,Kolkata,plumber,22
2026-06-04,Kolkata,plumber,20
2026-06-05,Kolkata,plumber,23
2026-06-06,Kolkata,plumber,13
2026-06-07,Kolkata,plumber,9
2026-06-08,Kolkata,plumber,16
2026-06-09,Kolkata,plumber,23
2026-06-10,Kolkata,plumber,19
2026-06-11,Kolkata,plumber,26
2026-06-12,Kolkata,plumber,15
2026-06-13,Kolkata,plumber,17
2026-06-14,Kolkata,plumber,11
2026-06-15,Kolkata,plumber,20
2026-06-16,Kolkata,plumber,20
2026-06-17,Kolkata,plumber,23
2026-06-18,Kolkata,plumber,21
2026-06-19,Kolkata,plumber,23
2026-06-20,Kolkata,plumber,14
2026-06-21,Kolkata,plumber,11
2026-06-22,Kolkata,plumber,19
2026-06-23,Kolkata,plumber,21
2026-06-24,Kolkata,plumber,23
2026-06-25,Kolkata,plumber,17
2026-06-26,Kolkata,plumber,17
2026-06-27,Kolkata,plumber,16
2026-06-28,Kolkata,plumber,11
2026-06-29,Kolkata,plumber,20
2026-06-30,Kolkata,plumber,21
2026-07-01,Kolkata,plumber,23
2026-07-02,Kolkata,plumber,20
2026-07-03,Kolkata,plumber,19
2026-07-04,Kolkata,plumber,15
2026-07-05,Kolkata,plumber,10
2026-07-06,Kolkata,plumber,21
2026-07-07,Kolkata,plumber,17
2026-07-08,Kolkata,plumber,25
